MSSubClass,MSZoning,LotFrontage,Neighborhood,OverallQual,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,Exterior
12,3,4.174387269895637,15,7,8.833333333333314,2,5.2832037287379885,3,5,3.0,1.0,3.0,6.75343791859778,4,6.75343791859778,7.444833273892193,2,3,6,1,4,3,2.0,3,6.3080984415095305,12.27749522954023
12,3,4.219507705176107,15,7,8.666666666666629,2,5.093750200806762,3,5,3.0,2.0,3.0,6.825460036255307,4,6.825460036255307,7.488293515159428,2,3,4,2,4,3,2.0,3,6.411818267709897,12.27749522954023
12,3,4.430816798843313,23,8,8.333333333333314,2,5.860786223465865,3,5,3.0,3.0,3.0,7.044032897274685,4,7.044032897274685,7.695757990554761,2,3,7,2,4,3,2.0,4,6.729824070489475,12.27749522954023
6,3,4.442651256490317,10,5,7.5,1,0.0,2,4,3.0,1.0,3.0,6.680854678790215,4,6.680854678790215,7.217443431696533,1,2,3,1,4,3,1.0,3,6.175867270105761,12.27749522954023
10,3,4.31748811353631,18,8,9.166666666666629,3,5.231108616854587,3,5,4.0,3.0,3.0,7.430707082545968,4,7.43543801981455,7.43543801981455,2,3,5,2,4,3,2.0,3,6.456769655572163,12.27749522954023
10,3,4.51085950651685,15,7,9.5,3,5.726847747587197,3,5,3.0,3.0,2.0,7.3098814858247865,4,7.3098814858247865,7.3098814858247865,2,3,5,2,4,3,2.0,4,6.734591659972948,12.27749522954023
10,3,4.189654742026425,11,5,9.0,1,0.0,2,5,2.0,1.0,3.0,7.016609683894219,4,7.016609683894219,7.016609683894219,1,3,4,1,2,3,1.0,3,6.3578422665081,12.27749522954023
12,3,4.61512051684126,22,8,9.333333333333314,2,5.942799375126701,3,5,4.0,3.0,2.0,7.055312843339752,4,7.055312843339752,7.773594467360194,3,3,7,2,5,3,2.0,4,6.74993119378857,12.27749522954023
10,3,4.31748811353631,15,8,8.666666666666629,2,5.641907070938114,3,5,3.0,1.0,2.0,7.48324441607385,4,7.493317248862145,7.493317248862145,2,3,5,2,4,3,2.0,3,6.282266746896006,12.27749522954023
10,3,4.700480365792417,22,8,9.5,3,6.46302945692067,3,5,3.0,1.0,2.0,7.356918242356021,4,7.3783837129967145,7.3783837129967145,2,3,5,2,4,3,2.0,4,6.792344427470809,12.27749522954023
10,3,4.584967478670572,22,8,9.666666666666629,3,5.303304908059076,3,5,4.0,1.0,3.0,7.4413203897176174,4,7.4413203897176174,7.4413203897176174,2,3,5,2,4,3,2.0,4,6.650279048587422,12.27749522954023
10,3,4.442651256490317,15,8,9.5,1,0.0,3,5,4.0,3.0,2.0,7.118826249062078,4,7.118826249062078,7.118826249062078,2,3,5,1,4,3,2.0,3,6.184148890937483,12.27749522954023
12,3,4.68213122712422,22,8,9.166666666666629,3,4.890349128221754,3,5,4.0,3.0,2.0,7.0192966537150445,4,7.0326242610280065,7.8050670442584895,3,3,7,2,5,3,3.0,4,6.539585955617669,12.27749522954023
10,3,4.718498871295094,15,5,7.5,1,0.0,2,5,3.0,1.0,2.0,7.001245622069476,4,7.001245622069476,7.001245622069476,1,2,4,1,4,3,1.0,3,6.511745329644728,12.27749522954023
10,3,4.219507705176107,9,5,9.5,1,0.0,2,3,2.0,1.0,3.0,6.964135612418245,2,6.964135612418245,6.964135612418245,1,3,3,1,2,1,1.0,2,5.5093883366279774,12.27749522954023
10,3,4.74493212836325,20,5,1.5,1,0.0,2,3,2.0,4.0,1.0,7.208600337960199,3,7.192182058713246,7.192182058713246,1,2,3,3,4,1,2.0,2,5.733341276897746,12.27749522954023
10,3,4.418840607796598,15,5,5.0,1,0.0,2,3,3.0,3.0,1.0,6.844815479208263,2,6.844815479208263,6.844815479208263,1,2,3,1,2,2,1.0,2,5.733341276897746,12.27749522954023
6,3,3.871201010907891,10,7,8.833333333333314,1,0.0,3,5,4.0,1.0,3.0,7.268920128193722,4,7.325807502595773,7.673223121121708,1,3,4,2,4,3,2.0,3,6.508769136971682,12.27749522954023
10,4,4.430816798843313,18,8,9.333333333333314,1,0.0,3,5,3.0,3.0,3.0,7.4127640174265625,4,7.4127640174265625,7.4127640174265625,2,3,5,1,4,3,2.0,4,6.717804695023691,12.27749522954023
12,3,4.290459441148391,13,6,7.833333333333314,1,0.0,2,5,3.0,3.0,3.0,6.678342114654332,3,6.678342114654332,7.293697720601438,2,2,4,1,4,3,3.0,3,5.963579343618446,12.27749522954023
